review_month,total_reviews,positive_reviews,positive_rate,ci_lower,ci_upper
2025-11,409,403,98.53300733496333,96.83680516134416,99.32598463503294
2025-12,526,477,90.68441064638783,87.89703001603003,92.88182917509425
2026-01,452,406,89.82300884955751,86.69161192026752,92.28318985298003
2026-02,440,394,89.54545454545455,86.33613619179033,92.07021418185649
2026-03,411,374,90.99756690997567,87.83757953953071,93.3982463757102
2026-04,553,504,91.13924050632912,88.47806154857601,93.23278764085235
2026-05,454,409,90.08810572687224,86.99392453855707,92.50955439389467
2026-06,890,800,89.8876404494382,87.73226499906045,91.70015345181496
2026-07,777,691,88.93178893178893,86.53132804367532,90.94917504427492
2026-08,62,54,87.09677419354838,76.55044310309549,93.31420174150125
