,precision,recall,f1-score,support
Not recommended,0.3931034482758621,0.6785714285714286,0.4978165938864629,84.0
Recommended,0.9643799472295514,0.8925518925518926,0.9270767279644896,819.0
accuracy,0.8726467331118494,0.8726467331118494,0.8726467331118494,0.8726467331118494
macro avg,0.6787416977527068,0.7855616605616607,0.7124466609254763,903.0
weighted avg,0.9112379473268827,0.8726467331118494,0.8871455527014173,903.0
