theme,recommended_count,recommended_rate,not_recommended_count,not_recommended_rate,difference_pp
Fun and enjoyment,1406,34.351331541656485,68,16.267942583732058,-18.083388957924427
Social and multiplayer,714,17.444417297825556,51,12.200956937799043,-5.243460360026512
Art and visual style,120,2.9318348399706817,10,2.3923444976076556,-0.5394903423630262
Learning and challenge,153,3.738089420962619,13,3.110047846889952,-0.6280415740726668
Onboarding and guidance,94,2.296603957977034,39,9.330143540669857,7.033539582692823
Repetition and boredom,59,1.441485462985585,41,9.808612440191387,8.367126977205803
Difficulty and punishment,133,3.2494502809675057,27,6.4593301435406705,3.209879862573165
Time and value,6,0.1465917419985341,12,2.8708133971291865,2.7242216551306524
Progression and clarity,78,1.9056926459809431,38,9.090909090909092,7.185216444928148
