term,coefficient,training_review_count
fun,3.9646938142724557,675
good,3.196918274051366,480
love,2.9067400805796764,292
friends,2.494062096949836,456
great,2.4940294717292977,217
best,2.4782822716225805,174
nice,1.9829254619062262,100
amazing,1.9247847138375969,97
cool,1.8759900271136285,100
love this,1.6926120042073087,81
good game,1.6758087555201193,149
survival,1.4746159835384014,307
