,Baseline,TF-IDF Logistic Regression
Accuracy,0.9069767441860465,0.8726467331118494
Macro F1,0.47560975609756095,0.7124466609254763
Negative precision,0.0,0.3931034482758621
Negative recall,0.0,0.6785714285714286
Negative F1,0.0,0.4978165938864629
Positive F1,0.9512195121951219,0.9270767279644896
