term,coefficient,training_review_count
not,-4.560270925283106,314
boring,-4.142783789044404,41
no,-3.5194417556964575,161
trash,-3.142302597041636,12
bad,-2.7357251890233147,54
too,-2.3757055675042764,112
worst,-2.3560553968703086,18
do not,-1.9386074759604772,29
why,-1.928370287257998,43
hate,-1.6359124861524321,46
