term,positive_review_rate,negative_review_rate,difference_pp
fun,19.325677986807065,9.569377990430619,9.756299996376447
friends,13.242120693867578,5.980861244019136,7.261259449848442
love,8.429025164915686,2.15311004784689,6.275915117068796
good,13.70632787686296,8.37320574162679,5.33312213523617
best,5.106279012948926,1.4354066985645932,3.670872314384333
great,6.547764475934506,3.349282296650717,3.198482179283789
amazing,2.9074028829709233,0.23923444976076555,2.6681684332101576
nice,2.931834839970679,0.9569377990430622,1.9748970409276168
cool,2.7852430979721454,1.1961722488038278,1.5890708491683176
peak,2.0522843879794777,0.4784688995215311,1.5738154884579465
lots,1.0994380649890068,0.0,1.0994380649890068
favorite,1.172733935988274,0.23923444976076555,0.9334994862275084
survive,2.1011483019789887,1.1961722488038278,0.9049760531751609
funny,0.8795504519912049,0.0,0.8795504519912049
surviving,0.8795504519912049,0.0,0.8795504519912049
updates,1.563645247984366,0.7177033492822966,0.8459418987020695
cute,0.8306865379916933,0.0,0.8306865379916933
definitely,1.2948937209870528,0.4784688995215311,0.8164248214655216
perfect,0.8062545809919376,0.0,0.8062545809919376
curve,1.270461763987297,0.4784688995215311,0.7919928644657659
